Line_index,Line_start,Line_end,Line
44,12,12,"[-71.1025,41.92962],[-71.1025,41.92962]"
45,13,12,"[-70.43134,41.78123],[-71.1025,41.92962]"
46,12,13,"[-71.1025,41.92962],[-70.43134,41.78123]"
47,13,13,"[-70.43134,41.78123],[-70.43134,41.78123]"
48,14,13,"[-70.14877,41.67167],[-70.43134,41.78123]"
49,24,13,"[-70.46667,41.60926],[-70.43134,41.78123]"
50,13,14,"[-70.43134,41.78123],[-70.14877,41.67167]"
51,14,14,"[-70.14877,41.67167],[-70.14877,41.67167]"
52,15,14,"[-71.12466,42.09639],[-70.14877,41.67167]"
53,25,14,"[-70.21943,41.54443],[-70.14877,41.67167]"
54,7,15,"[-71.38131,42.16747],[-71.12466,42.09639]"
55,14,15,"[-70.14877,41.67167],[-71.12466,42.09639]"
56,15,15,"[-71.12466,42.09639],[-71.12466,42.09639]"
57,16,16,"[-72.48011,42.75272],[-72.48011,42.75272]"
58,17,16,"[-71.42039,42.82172],[-72.48011,42.75272]"
59,27,16,"[-72.65104,42.84217],[-72.48011,42.75272]"
60,29,16,"[-72.38306,42.57382],[-72.48011,42.75272]"
61,16,17,"[-72.48011,42.75272],[-71.42039,42.82172]"
62,17,17,"[-71.42039,42.82172],[-71.42039,42.82172]"
63,18,17,"[-71.27914,42.50933],[-71.42039,42.82172]"
64,19,17,"[-70.57265,43.13376],[-71.42039,42.82172]"
65,20,17,"[-69.79556,43.91664],[-71.42039,42.82172]"
66,8,18,"[-71.64178,42.16643],[-71.27914,42.50933]"
67,17,18,"[-71.42039,42.82172],[-71.27914,42.50933]"
68,18,18,"[-71.27914,42.50933],[-71.27914,42.50933]"
69,17,19,"[-71.42039,42.82172],[-70.57265,43.13376]"
70,19,19,"[-70.57265,43.13376],[-70.57265,43.13376]"
71,20,19,"[-69.79556,43.91664],[-70.57265,43.13376]"
72,17,20,"[-71.42039,42.82172],[-69.79556,43.91664]"
73,19,20,"[-70.57265,43.13376],[-69.79556,43.91664]"
74,20,20,"[-69.79556,43.91664],[-69.79556,43.91664]"
75,26,20,"[-69.58359,43.96032],[-69.79556,43.91664]"
76,1,21,"[-72.04355,41.24348],[-72.21072,41.14987]"
77,21,21,"[-72.21072,41.14987],[-72.21072,41.14987]"
78,10,22,"[-71.20849,41.60926],[-71.1025,41.4678]"
79,22,22,"[-71.1025,41.4678],[-71.1025,41.4678]"
80,11,23,"[-71.40472,41.54443],[-71.30124,41.40886]"
81,23,23,"[-71.30124,41.40886],[-71.30124,41.40886]"
82,13,24,"[-70.43134,41.78123],[-70.46667,41.60926]"
83,24,24,"[-70.46667,41.60926],[-70.46667,41.60926]"
84,14,25,"[-70.14877,41.67167],[-70.21943,41.54443]"
85,25,25,"[-70.21943,41.54443],[-70.21943,41.54443]"
86,20,26,"[-69.79556,43.91664],[-69.58359,43.96032]"
87,26,26,"[-69.58359,43.96032],[-69.58359,43.96032]"
88,16,27,"[-72.48011,42.75272],[-72.65104,42.84217]"
89,27,27,"[-72.65104,42.84217],[-72.65104,42.84217]"
90,28,28,"[-72.21964,42.51591],[-72.21964,42.51591]"
91,29,28,"[-72.38306,42.57382],[-72.21964,42.51591]"
92,16,29,"[-72.48011,42.75272],[-72.38306,42.57382]"
93,28,29,"[-72.21964,42.51591],[-72.38306,42.57382]"
94,29,29,"[-72.38306,42.57382],[-72.38306,42.57382]"
95,30,29,"[-72.55076,42.15707],[-72.38306,42.57382]"
96,37,29,"[-73.87276,42.47951],[-72.38306,42.57382]"
97,9,30,"[-71.99923,42.03295],[-72.55076,42.15707]"
98,29,30,"[-72.38306,42.57382],[-72.55076,42.15707]"
99,30,30,"[-72.55076,42.15707],[-72.55076,42.15707]"
100,31,30,"[-72.55076,41.67167],[-72.55076,42.15707]"
101,5,31,"[-72.14054,41.63076],[-72.55076,41.67167]"
102,30,31,"[-72.55076,42.15707],[-72.55076,41.67167]"
103,31,31,"[-72.55076,41.67167],[-72.55076,41.67167]"
104,32,31,"[-72.69202,41.4997],[-72.55076,41.67167]"
105,31,32,"[-72.55076,41.67167],[-72.69202,41.4997]"
106,32,32,"[-72.69202,41.4997],[-72.69202,41.4997]"
107,33,32,"[-72.48011,41.39707],[-72.69202,41.4997]"
108,35,32,"[-73.04527,41.52258],[-72.69202,41.4997]"
109,2,33,"[-72.14054,41.35789],[-72.48011,41.39707]"
110,32,33,"[-72.69202,41.4997],[-72.48011,41.39707]"
111,33,33,"[-72.48011,41.39707],[-72.48011,41.39707]"
112,34,33,"[-72.90398,41.35789],[-72.48011,41.39707]"
113,36,33,"[-72.45371,41.24833],[-72.48011,41.39707]"
114,33,34,"[-72.48011,41.39707],[-72.90398,41.35789]"
115,34,34,"[-72.90398,41.35789],[-72.90398,41.35789]"
116,35,34,"[-73.04527,41.52258],[-72.90398,41.35789]"
117,32,35,"[-72.69202,41.4997],[-73.04527,41.52258]"
118,34,35,"[-72.90398,41.35789],[-73.04527,41.52258]"
119,35,35,"[-73.04527,41.52258],[-73.04527,41.52258]"
120,73,35,"[-73.61091,41.51669],[-73.04527,41.52258]"
121,33,36,"[-72.48011,41.39707],[-72.45371,41.24833]"
122,36,36,"[-72.45371,41.24833],[-72.45371,41.24833]"
123,29,37,"[-72.38306,42.57382],[-73.87276,42.47951]"
124,37,37,"[-73.87276,42.47951],[-73.87276,42.47951]"
125,38,37,"[-74.42333,42.44449],[-73.87276,42.47951]"
126,39,37,"[-73.82285,42.08773],[-73.87276,42.47951]"
127,40,37,"[-74.03902,42.64281],[-73.87276,42.47951]"
128,43,37,"[-75.20939,42.90874],[-73.87276,42.47951]"
129,37,38,"[-73.87276,42.47951],[-74.42333,42.44449]"
130,38,38,"[-74.42333,42.44449],[-74.42333,42.44449]"
131,69,38,"[-75.74348,41.96326],[-74.42333,42.44449]"
132,37,39,"[-73.87276,42.47951],[-73.82285,42.08773]"
133,39,39,"[-73.82285,42.08773],[-73.82285,42.08773]"
134,73,39,"[-73.61091,41.51669],[-73.82285,42.08773]"
135,37,40,"[-73.87276,42.47951],[-74.03902,42.64281]"
136,40,40,"[-74.03902,42.64281],[-74.03902,42.64281]"
137,41,40,"[-73.89349,42.79225],[-74.03902,42.64281]"
138,44,40,"[-75.10342,43.03252],[-74.03902,42.64281]"
139,40,41,"[-74.03902,42.64281],[-73.89349,42.79225]"
140,41,41,"[-73.89349,42.79225],[-73.89349,42.79225]"
141,42,41,"[-73.68155,42.68407],[-73.89349,42.79225]"
142,45,41,"[-75.20939,43.15144],[-73.89349,42.79225]"
143,41,42,"[-73.89349,42.79225],[-73.68155,42.68407]"
144,42,42,"[-73.68155,42.68407],[-73.68155,42.68407]"
145,37,43,"[-73.87276,42.47951],[-75.20939,42.90874]"
146,43,43,"[-75.20939,42.90874],[-75.20939,42.90874]"
147,44,43,"[-75.10342,43.03252],[-75.20939,42.90874]"
148,50,43,"[-76.18384,43.11746],[-75.20939,42.90874]"
149,40,44,"[-74.03902,42.64281],[-75.10342,43.03252]"
150,43,44,"[-75.20939,42.90874],[-75.10342,43.03252]"
151,44,44,"[-75.10342,43.03252],[-75.10342,43.03252]"
152,45,44,"[-75.20939,43.15144],[-75.10342,43.03252]"
153,48,44,"[-74.77657,44.94083],[-75.10342,43.03252]"
154,41,45,"[-73.89349,42.79225],[-75.20939,43.15144]"
155,44,45,"[-75.10342,43.03252],[-75.20939,43.15144]"
156,45,45,"[-75.20939,43.15144],[-75.20939,43.15144]"
157,46,45,"[-74.91785,44.52963],[-75.20939,43.15144]"
158,51,45,"[-76.20267,42.9663],[-75.20939,43.15144]"
159,71,45,"[-75.87158,42.11234],[-75.20939,43.15144]"
160,45,46,"[-75.20939,43.15144],[-74.91785,44.52963]"
161,46,46,"[-74.91785,44.52963],[-74.91785,44.52963]"
162,47,46,"[-74.96637,44.84721],[-74.91785,44.52963]"
163,49,46,"[-74.10543,44.79243],[-74.91785,44.52963]"
164,46,47,"[-74.91785,44.52963],[-74.96637,44.84721]"
165,47,47,"[-74.96637,44.84721],[-74.96637,44.84721]"
166,48,47,"[-74.77657,44.94083],[-74.96637,44.84721]"
167,44,48,"[-75.10342,43.03252],[-74.77657,44.94083]"
168,47,48,"[-74.96637,44.84721],[-74.77657,44.94083]"
169,48,48,"[-74.77657,44.94083],[-74.77657,44.94083]"
170,49,48,"[-74.10543,44.79243],[-74.77657,44.94083]"
171,100,48,"[-74.82459,45.09026],[-74.77657,44.94083]"
172,46,49,"[-74.91785,44.52963],[-74.10543,44.79243]"
173,48,49,"[-74.77657,44.94083],[-74.10543,44.79243]"
174,49,49,"[-74.10543,44.79243],[-74.10543,44.79243]"
175,43,50,"[-75.20939,42.90874],[-76.18384,43.11746]"
176,50,50,"[-76.18384,43.11746],[-76.18384,43.11746]"
177,51,50,"[-76.20267,42.9663],[-76.18384,43.11746]"
178,52,50,"[-77.82188,43.02108],[-76.18384,43.11746]"
179,45,51,"[-75.20939,43.15144],[-76.20267,42.9663]"
180,50,51,"[-76.18384,43.11746],[-76.20267,42.9663]"
181,51,51,"[-76.20267,42.9663],[-76.20267,42.9663]"
182,53,51,"[-77.72816,42.87719],[-76.20267,42.9663]"
183,72,51,"[-76.08352,42.6078],[-76.20267,42.9663]"
184,50,52,"[-76.18384,43.11746],[-77.82188,43.02108]"
185,52,52,"[-77.82188,43.02108],[-77.82188,43.02108]"
186,53,52,"[-77.72816,42.87719],[-77.82188,43.02108]"
187,54,52,"[-78.32064,43.13549],[-77.82188,43.02108]"
188,51,53,"[-76.20267,42.9663],[-77.72816,42.87719]"
189,52,53,"[-77.82188,43.02108],[-77.72816,42.87719]"
190,53,53,"[-77.72816,42.87719],[-77.72816,42.87719]"
191,55,53,"[-78.54105,43.00409],[-77.72816,42.87719]"
192,65,53,"[-76.93127,42.61369],[-77.72816,42.87719]"
193,52,54,"[-77.82188,43.02108],[-78.32064,43.13549]"
194,54,54,"[-78.32064,43.13549],[-78.32064,43.13549]"
195,55,54,"[-78.54105,43.00409],[-78.32064,43.13549]"
196,56,54,"[-78.98,43.0561],[-78.32064,43.13549]"
197,62,54,"[-78.48548,42.8186],[-78.32064,43.13549]"
198,102,54,"[-79.38173,43.16462],[-78.32064,43.13549]"
199,103,54,"[-79.26069,43.06892],[-78.32064,43.13549]"
200,53,55,"[-77.72816,42.87719],[-78.54105,43.00409]"
201,54,55,"[-78.32064,43.13549],[-78.54105,43.00409]"
202,55,55,"[-78.54105,43.00409],[-78.54105,43.00409]"
203,57,55,"[-79.06478,42.91186],[-78.54105,43.00409]"
204,59,55,"[-78.76807,42.71458],[-78.54105,43.00409]"
205,54,56,"[-78.32064,43.13549],[-78.98,43.0561]"
206,56,56,"[-78.98,43.0561],[-78.98,43.0561]"
207,57,56,"[-79.06478,42.91186],[-78.98,43.0561]"
208,58,56,"[-78.98,42.7704],[-78.98,43.0561]"
209,55,57,"[-78.54105,43.00409],[-79.06478,42.91186]"
210,56,57,"[-78.98,43.0561],[-79.06478,42.91186]"
211,57,57,"[-79.06478,42.91186],[-79.06478,42.91186]"
212,59,57,"[-78.76807,42.71458],[-79.06478,42.91186]"
213,56,58,"[-78.98,43.0561],[-78.98,42.7704]"
214,58,58,"[-78.98,42.7704],[-78.98,42.7704]"
215,59,58,"[-78.76807,42.71458],[-78.98,42.7704]"
216,60,58,"[-79.26259,42.44449],[-78.98,42.7704]"
217,62,58,"[-78.48548,42.8186],[-78.98,42.7704]"
218,55,59,"[-78.54105,43.00409],[-78.76807,42.71458]"
219,57,59,"[-79.06478,42.91186],[-78.76807,42.71458]"
220,58,59,"[-78.98,42.7704],[-78.76807,42.71458]"
221,59,59,"[-78.76807,42.71458],[-78.76807,42.71458]"
222,61,59,"[-79.1147,42.32661],[-78.76807,42.71458]"
223,58,60,"[-78.98,42.7704],[-79.26259,42.44449]"
224,60,60,"[-79.26259,42.44449],[-79.26259,42.44449]"
225,61,60,"[-79.1147,42.32661],[-79.26259,42.44449]"
226,140,60,"[-79.55411,42.28161],[-79.26259,42.44449]"
227,59,61,"[-78.76807,42.71458],[-79.1147,42.32661]"
228,60,61,"[-79.26259,42.44449],[-79.1147,42.32661]"
229,61,61,"[-79.1147,42.32661],[-79.1147,42.32661]"
230,54,62,"[-78.32064,43.13549],[-78.48548,42.8186]"
231,58,62,"[-78.98,42.7704],[-78.48548,42.8186]"
232,62,62,"[-78.48548,42.8186],[-78.48548,42.8186]"
233,63,62,"[-77.77902,42.40254],[-78.48548,42.8186]"
234,62,63,"[-78.48548,42.8186],[-77.77902,42.40254]"
235,63,63,"[-77.77902,42.40254],[-77.77902,42.40254]"
236,64,63,"[-77.56709,42.38451],[-77.77902,42.40254]"
237,67,63,"[-76.79422,41.97816],[-77.77902,42.40254]"
238,63,64,"[-77.77902,42.40254],[-77.56709,42.38451]"
239,64,64,"[-77.56709,42.38451],[-77.56709,42.38451]"
240,65,64,"[-76.93127,42.61369],[-77.56709,42.38451]"
241,68,64,"[-76.69955,42.09986],[-77.56709,42.38451]"
242,53,65,"[-77.72816,42.87719],[-76.93127,42.61369]"
243,64,65,"[-77.56709,42.38451],[-76.93127,42.61369]"
244,65,65,"[-76.93127,42.61369],[-76.93127,42.61369]"
245,66,66,"[-76.46265,41.91437],[-76.46265,41.91437]"
246,67,66,"[-76.79422,41.97816],[-76.46265,41.91437]"
247,69,66,"[-75.74348,41.96326],[-76.46265,41.91437]"
248,134,66,"[-79.19382,40.49777],[-76.46265,41.91437]"
249,63,67,"[-77.77902,42.40254],[-76.79422,41.97816]"
250,66,67,"[-76.46265,41.91437],[-76.79422,41.97816]"
251,67,67,"[-76.79422,41.97816],[-76.79422,41.97816]"
252,68,67,"[-76.69955,42.09986],[-76.79422,41.97816]"
253,70,67,"[-75.94222,41.98163],[-76.79422,41.97816]"
254,138,67,"[-76.38634,41.63014],[-76.79422,41.97816]"
255,64,68,"[-77.56709,42.38451],[-76.69955,42.09986]"
256,67,68,"[-76.79422,41.97816],[-76.69955,42.09986]"
257,68,68,"[-76.69955,42.09986],[-76.69955,42.09986]"
258,71,68,"[-75.87158,42.11234],[-76.69955,42.09986]"
259,38,69,"[-74.42333,42.44449],[-75.74348,41.96326]"
260,66,69,"[-76.46265,41.91437],[-75.74348,41.96326]"
261,69,69,"[-75.74348,41.96326],[-75.74348,41.96326]"
262,71,69,"[-75.87158,42.11234],[-75.74348,41.96326]"
263,67,70,"[-76.79422,41.97816],[-75.94222,41.98163]"
264,70,70,"[-75.94222,41.98163],[-75.94222,41.98163]"
265,71,70,"[-75.87158,42.11234],[-75.94222,41.98163]"
266,45,71,"[-75.20939,43.15144],[-75.87158,42.11234]"
267,68,71,"[-76.69955,42.09986],[-75.87158,42.11234]"
268,69,71,"[-75.74348,41.96326],[-75.87158,42.11234]"
269,70,71,"[-75.94222,41.98163],[-75.87158,42.11234]"
270,71,71,"[-75.87158,42.11234],[-75.87158,42.11234]"
271,72,71,"[-76.08352,42.6078],[-75.87158,42.11234]"
272,51,72,"[-76.20267,42.9663],[-76.08352,42.6078]"
273,71,72,"[-75.87158,42.11234],[-76.08352,42.6078]"
274,72,72,"[-76.08352,42.6078],[-76.08352,42.6078]"
275,35,73,"[-73.04527,41.52258],[-73.61091,41.51669]"
276,39,73,"[-73.82285,42.08773],[-73.61091,41.51669]"
277,73,73,"[-73.61091,41.51669],[-73.61091,41.51669]"
278,74,73,"[-73.7343,41.2414],[-73.61091,41.51669]"
279,73,74,"[-73.61091,41.51669],[-73.7343,41.2414]"
280,74,74,"[-73.7343,41.2414],[-73.7343,41.2414]"
281,77,74,"[-73.91092,41.22094],[-73.7343,41.2414]"
282,78,74,"[-73.3985,40.68631],[-73.7343,41.2414]"
283,75,75,"[-74.24672,41.04758],[-74.24672,41.04758]"
284,76,75,"[-74.05221,41.06007],[-74.24672,41.04758]"
285,124,75,"[-74.83214,40.48286],[-74.24672,41.04758]"
286,75,76,"[-74.24672,41.04758],[-74.05221,41.06007]"
287,76,76,"[-74.05221,41.06007],[-74.05221,41.06007]"
288,77,76,"[-73.91092,41.22094],[-74.05221,41.06007]"
289,74,77,"[-73.7343,41.2414],[-73.91092,41.22094]"
290,76,77,"[-74.05221,41.06007],[-73.91092,41.22094]"
291,77,77,"[-73.91092,41.22094],[-73.91092,41.22094]"
292,74,78,"[-73.7343,41.2414],[-73.3985,40.68631]"
293,78,78,"[-73.3985,40.68631],[-73.3985,40.68631]"
294,79,78,"[-73.19833,40.72168],[-73.3985,40.68631]"
295,80,78,"[-73.31042,40.8451],[-73.3985,40.68631]"
296,81,78,"[-73.96414,40.63118],[-73.3985,40.68631]"
297,82,78,"[-73.59301,40.79691],[-73.3985,40.68631]"
298,78,79,"[-73.3985,40.68631],[-73.19833,40.72168]"
299,79,79,"[-73.19833,40.72168],[-73.19833,40.72168]"
300,78,80,"[-73.3985,40.68631],[-73.31042,40.8451]"
301,80,80,"[-73.31042,40.8451],[-73.31042,40.8451]"
302,78,81,"[-73.3985,40.68631],[-73.96414,40.63118]"
303,81,81,"[-73.96414,40.63118],[-73.96414,40.63118]"
304,125,81,"[-74.37859,40.5262],[-73.96414,40.63118]"
305,78,82,"[-73.3985,40.68631],[-73.59301,40.79691]"
306,82,82,"[-73.59301,40.79691],[-73.59301,40.79691]"
307,83,83,"[-82.84811,42.06276],[-82.84811,42.06276]"
308,84,83,"[-83.14859,42.09605],[-82.84811,42.06276]"
309,112,83,"[-82.15996,42.09778],[-82.84811,42.06276]"
310,113,83,"[-82.50141,42.19729],[-82.84811,42.06276]"
311,83,84,"[-82.84811,42.06276],[-83.14859,42.09605]"
312,84,84,"[-83.14859,42.09605],[-83.14859,42.09605]"
313,116,84,"[-82.86642,42.30234],[-83.14859,42.09605]"
314,85,85,"[-82.38938,42.51522],[-82.38938,42.51522]"
315,86,85,"[-82.46003,42.38139],[-82.38938,42.51522]"
316,87,85,"[-82.58342,42.50378],[-82.38938,42.51522]"
317,88,85,"[-81.87696,42.81582],[-82.38938,42.51522]"
318,105,85,"[-81.45119,42.72568],[-82.38938,42.51522]"
319,112,85,"[-82.15996,42.09778],[-82.38938,42.51522]"
320,85,86,"[-82.38938,42.51522],[-82.46003,42.38139]"
321,86,86,"[-82.46003,42.38139],[-82.46003,42.38139]"
322,85,87,"[-82.38938,42.51522],[-82.58342,42.50378]"
323,87,87,"[-82.58342,42.50378],[-82.58342,42.50378]"
324,115,87,"[-82.72512,42.61369],[-82.58342,42.50378]"
325,85,88,"[-82.38938,42.51522],[-81.87696,42.81582]"
326,88,88,"[-81.87696,42.81582],[-81.87696,42.81582]"
327,89,88,"[-82.15955,42.91984],[-81.87696,42.81582]"
328,105,88,"[-81.45119,42.72568],[-81.87696,42.81582]"
329,88,89,"[-81.87696,42.81582],[-82.15955,42.91984]"
330,89,89,"[-82.15955,42.91984],[-82.15955,42.91984]"
331,90,89,"[-82.44213,42.8186],[-82.15955,42.91984]"
332,105,89,"[-81.45119,42.72568],[-82.15955,42.91984]"
333,113,89,"[-82.50141,42.19729],[-82.15955,42.91984]"
334,89,90,"[-82.15955,42.91984],[-82.44213,42.8186]"
335,90,90,"[-82.44213,42.8186],[-82.44213,42.8186]"
336,114,90,"[-82.72512,42.91984],[-82.44213,42.8186]"
337,91,91,"[-79.61629,43.64828],[-79.61629,43.64828]"
338,92,91,"[-81.02921,46.67058],[-79.61629,43.64828]"
339,93,91,"[-79.75758,44.58718],[-79.61629,43.64828]"
340,95,91,"[-78.06161,46.24898],[-79.61629,43.64828]"
341,98,91,"[-75.13875,44.94048],[-79.61629,43.64828]"
342,110,91,"[-79.6167,43.12093],[-79.61629,43.64828]"
343,91,92,"[-79.61629,43.64828],[-81.02921,46.67058]"
344,92,92,"[-81.02921,46.67058],[-81.02921,46.67058]"
345,97,92,"[-81.3118,46.35854],[-81.02921,46.67058]"
346,91,93,"[-79.61629,43.64828],[-79.75758,44.58718]"
347,93,93,"[-79.75758,44.58718],[-79.75758,44.58718]"
348,94,93,"[-80.04016,44.06711],[-79.75758,44.58718]"
349,95,93,"[-78.06161,46.24898],[-79.75758,44.58718]"
350,93,94,"[-79.75758,44.58718],[-80.04016,44.06711]"
351,94,94,"[-80.04016,44.06711],[-80.04016,44.06711]"
352,111,94,"[-80.46561,43.33901],[-80.04016,44.06711]"
353,91,95,"[-79.61629,43.64828],[-78.06161,46.24898]"
354,93,95,"[-79.75758,44.58718],[-78.06161,46.24898]"
355,95,95,"[-78.06161,46.24898],[-78.06161,46.24898]"
356,96,95,"[-79.475,46.35854],[-78.06161,46.24898]"
357,95,96,"[-78.06161,46.24898],[-79.475,46.35854]"
358,96,96,"[-79.475,46.35854],[-79.475,46.35854]"
359,97,96,"[-81.3118,46.35854],[-79.475,46.35854]"
360,92,97,"[-81.02921,46.67058],[-81.3118,46.35854]"
361,96,97,"[-79.475,46.35854],[-81.3118,46.35854]"
362,97,97,"[-81.3118,46.35854],[-81.3118,46.35854]"
363,91,98,"[-79.61629,43.64828],[-75.13875,44.94048]"
364,98,98,"[-75.13875,44.94048],[-75.13875,44.94048]"
365,99,98,"[-75.08835,45.0965],[-75.13875,44.94048]"
366,98,99,"[-75.13875,44.94048],[-75.08835,45.0965]"
367,99,99,"[-75.08835,45.0965],[-75.08835,45.0965]"
368,100,99,"[-74.82459,45.09026],[-75.08835,45.0965]"
369,48,100,"[-74.77657,44.94083],[-74.82459,45.09026]"
370,99,100,"[-75.08835,45.0965],[-74.82459,45.09026]"
371,100,100,"[-74.82459,45.09026],[-74.82459,45.09026]"
372,101,101,"[-79.79337,42.93613],[-79.79337,42.93613]"
373,102,101,"[-79.38173,43.16462],[-79.79337,42.93613]"
374,103,101,"[-79.26069,43.06892],[-79.79337,42.93613]"
375,104,101,"[-79.96339,43.16462],[-79.79337,42.93613]"
376,105,101,"[-81.45119,42.72568],[-79.79337,42.93613]"
377,107,101,"[-80.71506,42.94931],[-79.79337,42.93613]"
378,108,101,"[-79.79101,43.54115],[-79.79337,42.93613]"
379,109,101,"[-79.89697,43.37542],[-79.79337,42.93613]"
380,110,101,"[-79.6167,43.12093],[-79.79337,42.93613]"
381,54,102,"[-78.32064,43.13549],[-79.38173,43.16462]"
382,101,102,"[-79.79337,42.93613],[-79.38173,43.16462]"
383,102,102,"[-79.38173,43.16462],[-79.38173,43.16462]"
384,54,103,"[-78.32064,43.13549],[-79.26069,43.06892]"
385,101,103,"[-79.79337,42.93613],[-79.26069,43.06892]"
386,103,103,"[-79.26069,43.06892],[-79.26069,43.06892]"
387,101,104,"[-79.79337,42.93613],[-79.96339,43.16462]"
388,104,104,"[-79.96339,43.16462],[-79.96339,43.16462]"
389,106,104,"[-80.81538,43.06892],[-79.96339,43.16462]"
390,110,104,"[-79.6167,43.12093],[-79.96339,43.16462]"
391,85,105,"[-82.38938,42.51522],[-81.45119,42.72568]"
392,88,105,"[-81.87696,42.81582],[-81.45119,42.72568]"
393,89,105,"[-82.15955,42.91984],[-81.45119,42.72568]"
394,101,105,"[-79.79337,42.93613],[-81.45119,42.72568]"
395,105,105,"[-81.45119,42.72568],[-81.45119,42.72568]"
396,106,105,"[-80.81538,43.06892],[-81.45119,42.72568]"
397,107,105,"[-80.71506,42.94931],[-81.45119,42.72568]"
398,111,105,"[-80.46561,43.33901],[-81.45119,42.72568]"
399,112,105,"[-82.15996,42.09778],[-81.45119,42.72568]"
400,113,105,"[-82.50141,42.19729],[-81.45119,42.72568]"
401,104,106,"[-79.96339,43.16462],[-80.81538,43.06892]"
402,105,106,"[-81.45119,42.72568],[-80.81538,43.06892]"
403,106,106,"[-80.81538,43.06892],[-80.81538,43.06892]"
404,101,107,"[-79.79337,42.93613],[-80.71506,42.94931]"
405,105,107,"[-81.45119,42.72568],[-80.71506,42.94931]"
406,107,107,"[-80.71506,42.94931],[-80.71506,42.94931]"
407,110,107,"[-79.6167,43.12093],[-80.71506,42.94931]"
408,101,108,"[-79.79337,42.93613],[-79.79101,43.54115]"
409,108,108,"[-79.79101,43.54115],[-79.79101,43.54115]"
410,110,108,"[-79.6167,43.12093],[-79.79101,43.54115]"
411,111,108,"[-80.46561,43.33901],[-79.79101,43.54115]"
412,101,109,"[-79.79337,42.93613],[-79.89697,43.37542]"
413,109,109,"[-79.89697,43.37542],[-79.89697,43.37542]"
414,110,109,"[-79.6167,43.12093],[-79.89697,43.37542]"
415,111,109,"[-80.46561,43.33901],[-79.89697,43.37542]"
416,91,110,"[-79.61629,43.64828],[-79.6167,43.12093]"
417,101,110,"[-79.79337,42.93613],[-79.6167,43.12093]"
418,104,110,"[-79.96339,43.16462],[-79.6167,43.12093]"
419,107,110,"[-80.71506,42.94931],[-79.6167,43.12093]"
420,108,110,"[-79.79101,43.54115],[-79.6167,43.12093]"
421,109,110,"[-79.89697,43.37542],[-79.6167,43.12093]"
422,110,110,"[-79.6167,43.12093],[-79.6167,43.12093]"
423,94,111,"[-80.04016,44.06711],[-80.46561,43.33901]"
